date,Q,P,Q_interp,Q_filled
1981-12-17,0.0,2.556312377049535,0.0,0.0
1981-12-18,0.0,13.236244297668307,0.0,0.0
1981-12-19,0.0,3.6580824182000478,0.0,0.0
1981-12-20,0.0,5.495886572402758,0.0,0.0
1981-12-21,0.0,1.287202429640676,0.0,0.0
1981-12-22,0.0,4.701063276971991,0.0,0.0
1981-12-23,0.0,0.05333796508282956,0.0,0.0
1981-12-24,0.0,6.293115645397783,0.0,0.0
1981-12-25,0.0,0.9742252412929262,0.0,0.0
1981-12-26,0.0,0.6487748064911627,0.0,0.0
1981-12-27,0.0,2.025958263907376,0.0,0.0
1981-12-28,0.0,4.5382356225942075,0.0,0.0
1981-12-29,0.0,2.009923499212089,0.0,0.0
1981-12-30,0.0,0.7535562040762382,0.0,0.0
1981-12-31,0.0,3.63689007484591,0.0,0.0
1982-01-01,0.0,1.9956382036193836,0.0,0.0
1982-01-02,0.0,1.1543541950540845,0.0,0.0
1982-01-03,0.0,2.670914989367937,0.0,0.0
1982-01-04,0.0,2.0939307855336495,0.0,0.0
1982-01-05,0.0,2.6845305168813396,0.0,0.0
1982-01-06,0.0,13.45203152142133,0.0,0.0
1982-01-07,0.0,0.6657754965897251,0.0,0.0
1982-01-08,0.0,6.802069152838605,0.0,0.0
1982-01-09,0.0,0.6019920030428408,0.0,0.0
1982-01-10,0.0,2.801622125017726,0.0,0.0
1982-01-11,0.0,2.0243046330362526,0.0,0.0
1982-01-12,0.0,3.6692071915158033,0.0,0.0
1982-01-13,0.0,1.635619215114761,0.0,0.0
1982-01-14,0.0,2.18620751818529,0.0,0.0
1982-01-15,0.0,2.1458518032475316,0.0,0.0
1982-01-16,0.0,2.3987065810266412,0.0,0.0
1982-01-17,0.0,2.5532151101301257,0.0,0.0
1982-01-18,0.0,2.0629303353422683,0.0,0.0
1982-01-19,0.0,1.6548021267042283,0.0,0.0
1982-01-20,0.0,1.8723708333229792,0.0,0.0
1982-01-21,0.0,2.8778333740694966,0.0,0.0
1982-01-22,0.0,2.9230452408888286,0.0,0.0
1982-01-23,0.0,1.1820481641577236,0.0,0.0
